Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,460,6325,1058.0,6.0,23,5,355
Opp. Stats,372,5863,1118.0,5.2,25,6,347
Lg Rank Offense,7,9, , ,17,2,12
Lg Rank Defense,15,17, , ,10,26,19
