Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,156.0,47.4,10.9,Own 28.8,3:02,6.67,38.9,2.65
Opp. Stats,156.0,38.5,16.7,Own 30.7,3:07,6.4,34.1,2.08
Lg Rank Offense, ,1.0,28.0,27,1,1.0,1.0,1.0
Lg Rank Defense, ,3.0,6.0,21,32,32.0,32.0,31.0
