Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,368.0,550,4308,32,2,7.5,203.0
Opp. Stats,368.0,596,3806,21,13,6.0,190.0
Lg Rank Offense, ,23,4,6,1,3.0, 
Lg Rank Defense, ,26,12,8,15,6.0, 
