Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,460,1690,16,3.7,93.0
Opp. Stats,390,1284,7,3.3,73.0
Lg Rank Offense,9,23,11,29.0, 
Lg Rank Defense,5,2,2,1.0, 
