Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,305,4375,950,4.6,40,19,251,166,386,1958,12,21,4.8,98,546,2417,19,4.4,136,104,978,17
Opp. Stats,189,3074,863,3.6,47,22,200,147,339,1466,14,25,3.7,83,472,1608,7,3.4,87,76,575,30
Lg Rank Offense,6,8,,,24,25,9,,10,21,15,14,20,,4,2,5,4,,,,
Lg Rank Defense,2,1,,,1,1,3,,6,1,13,3,1,,12,6,2,4,,,,
