Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,197.0,88.0,44.7%,15.0,6.0,40.0%,71.0,41.0,57.7%
Opp. Stats,216.0,82.0,38.0%,24.0,11.0,45.8%,56.0,22.0,39.3%
Lg Rank Offense, , ,6, , ,25, , ,6
Lg Rank Defense, , ,14, , ,9, , ,2
