Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,411,1427,17,3.5,84.0
Opp. Stats,435,1940,15,4.5,103.0
Lg Rank Offense,22,32,6,32.0, 
Lg Rank Defense,16,19,23,23.0, 
