Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,222.0,79.0,35.6%,9.0,6.0,66.7%,51.0,23.0,45.1%
Opp. Stats,223.0,75.0,33.6%,13.0,8.0,61.5%,35.0,12.0,34.3%
Lg Rank Offense, , ,26, , ,6, , ,28
Lg Rank Defense, , ,3, , ,26, , ,1
