Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,224.0,92.0,41.1%,12.0,3.0,25.0%,49.0,27.0,55.1%
Opp. Stats,226.0,71.0,31.4%,21.0,10.0,47.6%,42.0,14.0,33.3%
Lg Rank Offense, , ,14, , ,32, , ,15
Lg Rank Defense, , ,1, , ,13, , ,1
