Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,417,5424,973.0,5.6,19,10,307,267.0,420,3236,27,9,7.0,160.0,509,2188,14,4.3,116.0,128.0,1183.0,31.0,182.0,40.7,9.3,Own 31.0,2:41,5.54,29.7,2.12
Opp. Stats,231,4378,990.0,4.4,39,11,282,309.0,524,2752,16,28,4.8,156.0,422,1626,4,3.9,83.0,98.0,879.0,43.0,186.0,24.7,19.4,Own 25.8,2:38,5.5,23.4,1.17
Lg Rank Offense,8,17, , ,4,16,20, ,31,26,10,3,6.0, ,2,4,13,12.0, , , , , ,5.0,27.0,3,6,17.0,12.0,7.0
Lg Rank Defense,1,1, , ,1,11,3, ,7,1,2,1,1.0, ,10,7,1,7.0, , , , , ,32.0,1.0,6,22,12.0,1.0,1.0
