Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,389,5149,960.0,5.4,23,9,297,228.0,379,2926,21,14,7.1,144.0,549,2223,21,4.0,120.0,99.0,876.0,33.0,183.0,36.1,10.9,Own 33.2,2:46,5.41,28.1,2.0
Opp. Stats,258,4544,998.0,4.6,30,15,275,315.0,549,3168,15,15,5.3,179.0,402,1376,10,3.4,75.0,120.0,1031.0,21.0,181.0,27.1,14.9,Own 30.7,2:35,5.7,25.0,1.36
Lg Rank Offense,9,15, , ,6,5,17, ,32,24,12,9,2.0, ,1,5,5,12.0, , , , , ,7.0,28.0,6,5,25.0,11.0,7.0
Lg Rank Defense,3,4, , ,11,5,9, ,24,16,2,19,3.0, ,5,3,7,1.0, , , , , ,25.0,13.0,16,17,24.0,9.0,4.0
