Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,180.0,47.8,8.9,Own 31.0,2:34,5.82,34.1,2.72
Opp. Stats,178.0,33.7,14.0,Own 28.1,2:48,5.9,29.4,1.89
Lg Rank Offense, ,6.0,27.0,4,28,28.0,13.0,5.0
Lg Rank Defense, ,27.0,4.0,13,17,9.0,6.0,6.0
