Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,478,2037,18,4.3,131.0
Opp. Stats,367,1803,7,4.9,93.0
Lg Rank Offense,3,5,4,20.0, 
Lg Rank Defense,6,11,2,29.0, 
