Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,410.0,626,4626,42,12,7.1,238.0
Opp. Stats,426.0,617,3945,29,15,5.9,215.0
Lg Rank Offense, ,6,2,2,16,8.0, 
Lg Rank Defense, ,29,21,20,7,8.0, 
