Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,217.0,80.0,36.9%,14.0,6.0,42.9%,49.0,28.0,57.1%
Opp. Stats,232.0,83.0,35.8%,12.0,6.0,50.0%,53.0,23.0,43.4%
Lg Rank Offense, , ,20, , ,22, , ,11
Lg Rank Defense, , ,7, , ,17, , ,2
