Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,228.0,379,2926,21,14,7.1,144.0
Opp. Stats,315.0,549,3168,15,15,5.3,179.0
Lg Rank Offense, ,32,24,12,9,2.0, 
Lg Rank Defense, ,24,16,2,19,3.0, 
