Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,200.0,32.5,11.5,Own 26.4,2:22,5.26,30.7,1.9
Opp. Stats,196.0,34.7,14.8,Own 28.7,2:29,5.6,30.8,1.92
Lg Rank Offense, ,16.0,20.0,27,26,26.0,13.0,11.0
Lg Rank Defense, ,10.0,7.0,19,10,21.0,22.0,25.0
