Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,204.0,27.9,11.3,Own 33.3,2:29,5.27,24.6,1.47
Opp. Stats,200.0,23.0,19.5,Own 30.6,2:23,5.5,23.5,1.11
Lg Rank Offense, ,18.0,27.0,5,22,25.0,22.0,19.0
Lg Rank Defense, ,32.0,2.0,8,6,18.0,4.0,1.0
