Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,417,1970,18,4.7,105.0
Opp. Stats,419,1823,10,4.4,102.0
Lg Rank Offense,25,20,7,8.0, 
Lg Rank Defense,5,8,5,15.0, 
