Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,375,1569,16,4.2,93.0
Opp. Stats,416,2051,14,4.9,115.0
Lg Rank Offense,27,23,13,20.0, 
Lg Rank Defense,17,26,17,29.0, 
