Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,369,1519,16,4.1,82.0
Opp. Stats,358,1289,10,3.6,78.0
Lg Rank Offense,29,28,15,25.0, 
Lg Rank Defense,1,1,1,1.0, 
