Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,179.0,46.4,10.1,Own 28.9,2:53,6.29,39.3,2.71
Opp. Stats,184.0,35.9,10.3,Own 28.2,2:49,6.1,30.2,2.01
Lg Rank Offense, ,1.0,25.0,15,10,6.0,1.0,1.0
Lg Rank Defense, ,18.0,21.0,12,19,22.0,11.0,21.0
