Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,472,5872,1068,5.5,21,10,340,287,513,3494,27,11,6.4,172,520,2378,18,4.6,138,116,1006,30
Opp. Stats,287,4671,951,4.9,31,13,258,290,526,2868,20,18,5.0,145,381,1803,10,4.7,83,130,1118,30
Lg Rank Offense,1,1,,,6,7,1,,20,9,4,6,4,,6,4,5,2,,,,
Lg Rank Defense,6,5,,,9,13,2,,16,5,11,8,5,,1,16,6,30,,,,
