Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,394,6161,1028,6.0,24,8,331,359,589,4734,29,16,7.7,216,411,1427,17,3.5,84,94,795,31,200,32.5,11.5,Own 26.4,2:22,5.26,30.7,1.90
Opp. Stats,400,6022,1072,5.6,31,11,338,361,589,4082,28,20,6.4,210,435,1940,15,4.5,103,110,933,25,196,34.7,14.8,Own 28.7,2:29,5.6,30.8,1.92
Lg Rank Offense,9,8,,,16,10,10,,6,5,6,19,4,,22,32,6,32,,,,,,16,20,27,26,26,13,11
Lg Rank Defense,25,27,,,5,7,26,,24,29,25,6,20,,16,19,23,23,,,,,,10,7,19,10,21,22,25
