Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,388,5730,1000.0,5.7,22,9,312
Opp. Stats,240,4945,969.0,5.1,32,8,270
Lg Rank Offense,10,9, , ,10,9,13
Lg Rank Defense,2,5, , ,6,24,4
