Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,468,5848,1073,5.5,13,4,361,392,609,4121,34,9,6.5,228,438,1727,13,3.9,96,120,1080,37,181,45.3,7.2,Own 30.6,2:37,6.13,32.3,2.40
Opp. Stats,313,5506,1033,5.3,25,9,329,342,574,3837,24,16,6.2,196,419,1669,6,4.0,88,92,752,45,182,32.4,13.2,Own 25.5,2:40,5.9,30.2,1.63
Lg Rank Offense,4,11,,,1,2,4,,7,9,5,4,17,,13,18,12,22,,,,,,2,30,2,16,4,8,3
Lg Rank Defense,8,13,,,14,18,22,,24,17,12,12,16,,12,9,2,9,,,,,,20,12,1,20,21,15,8
