Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,236.0,95.0,40.3%,6.0,1.0,16.7%,50.0,20.0,40.0%
Opp. Stats,211.0,72.0,34.1%,19.0,4.0,21.1%,27.0,8.0,29.6%
Lg Rank Offense, , ,13, , ,31, , ,26
Lg Rank Defense, , ,5, , ,4, , ,2
