Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,385,5036,893,5.6,28,16,291,144,259,2076,17,12,7.4,102,613,2960,26,4.8,170,68,714,19
Opp. Stats,171,3297,770,4.3,46,20,186,178,348,1749,10,26,4.6,96,389,1548,8,4.0,76,70,659,14
Lg Rank Offense,1,1,,,5,16,2,,24,16,11,3,3,,1,1,1,2,,,,
Lg Rank Defense,1,1,,,2,1,1,,13,5,3,2,3,,1,3,3,9,,,,
