Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,293.0,485,3588,29,14,7.0,193.0
Opp. Stats,315.0,538,3400,18,20,5.8,177.0
Lg Rank Offense, ,22,11,5,11,7.0, 
Lg Rank Defense, ,26,17,7,7,10.0, 
