Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,306.0,482,3089,21,15,5.9,163.0
Opp. Stats,299.0,546,3497,15,22,6.0,171.0
Lg Rank Offense, ,24,22,11,11,15.0, 
Lg Rank Defense, ,23,24,6,6,19.0, 
