Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,348.0,567,3445,23,10,5.7,172.0
Opp. Stats,259.0,510,2490,10,31,4.5,131.0
Lg Rank Offense, ,11,15,14,2,21.0, 
Lg Rank Defense, ,5,1,1,1,1.0, 
