Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,378.0,574,4258,29,11,7.2,206.0
Opp. Stats,370.0,605,3943,29,18,6.2,208.0
Lg Rank Offense, ,11,8,11,10,6.0, 
Lg Rank Defense, ,28,22,19,3,9.0, 
