Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,193.0,35.8,7.8,Own 27.0,2:22,5.57,29.2,1.88
Opp. Stats,192.0,34.9,12.0,Own 27.3,2:42,5.9,29.0,1.67
Lg Rank Offense, ,13.0,31.0,19,28,22.0,18.0,15.0
Lg Rank Defense, ,14.0,16.0,14,22,26.0,13.0,11.0
