Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,224.0,79.0,35.3%,14.0,7.0,50.0%,44.0,21.0,47.7%
Opp. Stats,227.0,80.0,35.2%,14.0,5.0,35.7%,37.0,22.0,59.5%
Lg Rank Offense, , ,25, , ,15, , ,28
Lg Rank Defense, , ,7, , ,8, , ,20
