Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,181.0,45.9,12.2,Own 28.0,2:44,6.03,34.9,2.5
Opp. Stats,181.0,35.9,13.3,Own 27.9,2:57,6.4,32.4,1.85
Lg Rank Offense, ,3.0,16.0,23,20,18.0,8.0,7.0
Lg Rank Defense, ,20.0,9.0,10,25,25.0,19.0,7.0
