Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,182.0,42.9,4.9,Own 30.9,2:45,6.02,33.9,2.41
Opp. Stats,179.0,26.8,11.2,Own 25.0,2:34,5.7,29.0,1.41
Lg Rank Offense, ,6.0,32.0,3,7,7.0,6.0,5.0
Lg Rank Defense, ,32.0,20.0,1,8,16.0,10.0,2.0
