Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,388,5730,1000.0,5.7,22,9,312,352.0,541,4124,31,13,7.1,204.0,421,1606,11,3.8,88.0,78.0,617.0,20.0,183.0,35.0,10.9,Own 29.8,2:48,5.62,31.3,1.97
Opp. Stats,240,4945,969.0,5.1,32,8,270,296.0,527,3107,16,24,5.4,163.0,395,1838,6,4.7,82.0,98.0,758.0,25.0,182.0,25.3,16.5,Own 29.1,2:32,5.5,27.0,1.24
Lg Rank Offense,10,9, , ,10,9,13, ,16,5,4,9,3.0, ,20,24,18,25.0, , , , , ,10.0,23.0,15,8,16.0,8.0,8.0
Lg Rank Defense,2,5, , ,6,24,4, ,13,5,4,2,3.0, ,6,18,3,28.0, , , , , ,31.0,6.0,12,11,15.0,9.0,2.0
