Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,378.0,576,4498,30,5,7.5,211.0
Opp. Stats,352.0,582,3543,21,16,5.7,190.0
Lg Rank Offense, ,15,5,5,2,2.0, 
Lg Rank Defense, ,23,8,8,5,5.0, 
