Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,178.0,42.1,14.6,Own 31.4,2:49,6.01,32.1,2.25
Opp. Stats,175.0,24.0,20.0,Own 30.8,2:37,5.8,28.4,1.34
Lg Rank Offense, ,2.0,14.0,11,6,3.0,7.0,5.0
Lg Rank Defense, ,31.0,1.0,15,20,26.0,17.0,4.0
