Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,398,5640,1042,5.4,16,5,314,334,560,3739,22,11,6.3,182,444,1901,17,4.3,98,121,1127,34,193,35.8,7.8,Own 27.0,2:22,5.57,29.2,1.88
Opp. Stats,344,5615,1086,5.2,25,12,326,335,557,3650,15,13,6.1,187,492,1965,15,4.0,105,107,929,34,192,34.9,12.0,Own 27.3,2:42,5.9,29.0,1.67
Lg Rank Offense,10,16,,,2,3,15,,15,15,18,6,15,,12,11,6,12,,,,,,13,31,19,28,22,18,15
Lg Rank Defense,12,17,,,14,8,21,,16,17,2,19,16,,29,20,23,8,,,,,,14,16,14,22,26,13,11
