Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,427,6070,1011.0,6.0,19,10,376
Opp. Stats,360,5316,959.0,5.5,26,11,325
Lg Rank Offense,2,3, , ,4,10,1
Lg Rank Defense,23,21, , ,21,17,28
