Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,436,6295,1073.0,5.9,18,7,365,378.0,574,4258,29,11,7.2,206.0,478,2037,18,4.3,131.0,93.0,744.0,28.0,184.0,40.8,9.2,Own 29.9,2:42,6.05,34.2,2.27
Opp. Stats,325,5746,1002.0,5.7,28,10,322,370.0,605,3943,29,18,6.2,208.0,367,1803,7,4.9,93.0,91.0,838.0,21.0,187.0,32.6,15.0,Own 29.1,2:28,5.5,30.7,1.75
Lg Rank Offense,4,5, , ,7,8,8, ,11,8,11,10,6.0, ,3,5,4,20.0, , , , , ,7.0,29.0,8,16,7.0,9.0,8.0
Lg Rank Defense,7,21, , ,5,12,17, ,28,22,19,3,9.0, ,6,11,2,29.0, , , , , ,29.0,4.0,23,1,4.0,11.0,7.0
