Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,468,2106,21,4.5,115.0
Opp. Stats,435,1955,19,4.5,111.0
Lg Rank Offense,7,6,3,7.0, 
Lg Rank Defense,17,21,28,26.0, 
