Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,441,6180,1056,5.9,11,9,351,368,550,4308,32,2,7.5,203,482,1872,19,3.9,109,93,819,39,182,42.9,4.9,Own 30.9,2:45,6.02,33.9,2.41
Opp. Stats,250,5223,998,5.2,23,10,294,368,596,3806,21,13,6.0,190,368,1417,6,3.9,81,113,930,23,179,26.8,11.2,Own 25.0,2:34,5.7,29.0,1.41
Lg Rank Offense,3,4,,,1,13,5,,23,4,6,1,3,,3,7,5,25,,,,,,6,32,3,7,7,6,5
Lg Rank Defense,1,8,,,14,9,3,,26,12,8,15,6,,3,3,1,8,,,,,,32,20,1,8,16,10,2
