Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,230.0,96.0,41.7,26.0,17.0,65.4,55.0,36.0,65.5
Opp. Stats,205.0,66.0,32.2,18.0,4.0,22.2,38.0,21.0,55.3
Lg Rank Offense, , ,8.0, , ,3.0, , ,1.0
Lg Rank Defense, , ,3.0, , ,1.0, , ,20.0
