Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,510,6461,1032.0,6.3,28,16,348
Opp. Stats,341,5724,1044.0,5.5,39,13,310
Lg Rank Offense,1,1, , ,16,29,2
Lg Rank Defense,20,25, , ,2,6,22
