Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,303.0,506,3301,19,15,5.9,179.0
Opp. Stats,301.0,533,2511,12,20,4.3,149.0
Lg Rank Offense, ,20,17,18,16,20.0, 
Lg Rank Defense, ,23,1,2,6,1.0, 
