Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,376,5615,994,5.6,22,16,322,317,475,3454,18,6,6.9,172,490,2161,20,4.4,120,94,744,30
Opp. Stats,229,4767,1012,4.7,28,14,297,334,555,3116,14,14,5.3,176,423,1651,7,3.9,94,87,653,27
Lg Rank Offense,2,4,,,4,18,4,,24,7,13,1,3,,6,2,2,3,,,,
Lg Rank Defense,2,10,,,17,11,17,,21,10,4,17,5,,10,11,5,18,,,,
