Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,394,6161,1028.0,6.0,24,8,331,359.0,589,4734,29,16,7.7,216.0,411,1427,17,3.5,84.0,94.0,795.0,31.0,200.0,32.5,11.5,Own 26.4,2:22,5.26,30.7,1.9
Opp. Stats,400,6022,1072.0,5.6,31,11,338,361.0,589,4082,28,20,6.4,210.0,435,1940,15,4.5,103.0,110.0,933.0,25.0,196.0,34.7,14.8,Own 28.7,2:29,5.6,30.8,1.92
Lg Rank Offense,9,8, , ,16,10,10, ,6,5,6,19,4.0, ,22,32,6,32.0, , , , , ,16.0,20.0,27,26,26.0,13.0,11.0
Lg Rank Defense,25,27, , ,5,7,26, ,24,29,25,6,20.0, ,16,19,23,23.0, , , , , ,10.0,7.0,19,10,21.0,22.0,25.0
