Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,473,1793,15,3.8,101.0
Opp. Stats,429,1855,7,4.3,99.0
Lg Rank Offense,8,13,7,24.0, 
Lg Rank Defense,13,19,4,21.0, 
