Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,509,2188,14,4.3,116.0
Opp. Stats,422,1626,4,3.9,83.0
Lg Rank Offense,2,4,13,12.0, 
Lg Rank Defense,10,7,1,7.0, 
