Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,359.0,589,4734,29,16,7.7,216.0
Opp. Stats,361.0,589,4082,28,20,6.4,210.0
Lg Rank Offense, ,6,5,6,19,4.0, 
Lg Rank Defense, ,24,29,25,6,20.0, 
