Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,193.0,94.0,48.7%,12.0,9.0,75.0%,72.0,50.0,69.4%
Opp. Stats,222.0,85.0,38.3%,35.0,20.0,57.1%,55.0,37.0,67.3%
Lg Rank Offense, , ,2, , ,2, , ,2
Lg Rank Defense, , ,13, , ,21, , ,31
