Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,346,5002,1022.0,4.9,21,11,287,348.0,567,3445,23,10,5.7,172.0,414,1557,6,3.8,90.0,103.0,789.0,25.0,187.0,32.6,10.7,Own 32.4,2:45,5.67,26.7,1.6
Opp. Stats,196,4044,963.0,4.2,38,7,236,259.0,510,2490,10,31,4.5,131.0,410,1554,8,3.8,79.0,93.0,749.0,26.0,197.0,17.8,18.3,Own 28.8,2:20,5.0,20.4,0.9
Lg Rank Offense,18,24, , ,6,12,23, ,11,15,14,2,21.0, ,23,27,31,28.0, , , , , ,18.0,27.0,8,5,14.0,23.0,22.0
Lg Rank Defense,1,1, , ,3,30,1, ,5,1,1,1,1.0, ,10,5,3,5.0, , , , , ,32.0,4.0,3,3,2.0,1.0,1.0
