Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,436,6295,1073,5.9,18,7,365,378,574,4258,29,11,7.2,206,478,2037,18,4.3,131,93,744,28,184,40.8,9.2,Own 29.9,2:42,6.05,34.2,2.27
Opp. Stats,325,5746,1002,5.7,28,10,322,370,605,3943,29,18,6.2,208,367,1803,7,4.9,93,91,838,21,187,32.6,15.0,Own 29.1,2:28,5.5,30.7,1.75
Lg Rank Offense,4,5,,,7,8,8,,11,8,11,10,6,,3,5,4,20,,,,,,7,29,8,16,7,9,8
Lg Rank Defense,7,21,,,5,12,17,,28,22,19,3,9,,6,11,2,29,,,,,,29,4,23,1,4,11,7
