Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,439,1762,17,4.0,112.0
Opp. Stats,519,2768,20,5.3,150.0
Lg Rank Offense,18,18,6,16.0, 
Lg Rank Defense,31,32,30,32.0, 
