Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,409,5606,1014,5.5,24,9,324,314,491,3485,23,15,6.8,183,500,2121,20,4.2,119,91,650,22
Opp. Stats,243,3931,873,4.5,31,14,241,263,484,2687,16,17,5.1,147,345,1244,11,3.6,68,94,727,26
Lg Rank Offense,2,4,,,4,2,4,,12,5,5,6,3,,4,5,2,9,,,,
Lg Rank Defense,5,1,,,18,13,1,,16,5,8,17,4,,1,1,11,3,,,,
