Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,501,6092,1041,5.9,20,6,347,290,491,3624,32,14,7.0,186,525,2468,26,4.7,135,115,1023,26
Opp. Stats,309,4935,999,4.9,30,11,283,345,596,3648,28,19,5.7,183,356,1287,8,3.6,80,113,865,20
Lg Rank Offense,2,3,,,3,3,2,,21,7,5,8,3,,2,2,1,2,,,,
Lg Rank Defense,8,11,,,13,15,12,,29,26,28,10,12,,1,3,4,7,,,,
