Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,204.0,76.0,37.3%,11.0,6.0,54.5%,57.0,32.0,56.1%
Opp. Stats,216.0,76.0,35.2%,11.0,4.0,36.4%,36.0,13.0,36.1%
Lg Rank Offense, , ,17, , ,13, , ,12
Lg Rank Defense, , ,10, , ,8, , ,1
