Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,371,4882,1001,4.9,28,13,292,306,482,3089,21,15,5.9,163,473,1793,15,3.8,101,92,802,28,185,32.4,14.6,Own 32.6,2:41,5.57,26.2,1.75
Opp. Stats,272,5352,1016,5.3,35,13,303,299,546,3497,15,22,6.0,171,429,1855,7,4.3,99,93,839,33,188,27.7,17.6,Own 29.8,2:31,5.6,28.4,1.30
Lg Rank Offense,6,19,,,13,16,13,,24,22,11,11,15,,8,13,7,24,,,,,,7,14,8,7,9,19,7
Lg Rank Defense,6,24,,,8,9,26,,23,24,6,6,19,,13,19,4,21,,,,,,22,7,7,13,25,24,6
