Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,456,5837,1085,5.4,31,15,343,237,432,3076,17,16,6.5,145,610,2761,27,4.5,176,104,912,22
Opp. Stats,198,4135,945,4.4,54,20,236,249,522,2816,16,34,4.8,141,359,1319,6,3.7,74,118,944,21
Lg Rank Offense,2,7,,,4,9,6,,26,20,22,6,4,,1,1,1,5,,,,
Lg Rank Defense,1,1,,,1,5,1,,18,3,3,1,2,,1,1,1,6,,,,
