Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,441,6180,1056.0,5.9,11,9,351,368.0,550,4308,32,2,7.5,203.0,482,1872,19,3.9,109.0,93.0,819.0,39.0,182.0,42.9,4.9,Own 30.9,2:45,6.02,33.9,2.41
Opp. Stats,250,5223,998.0,5.2,23,10,294,368.0,596,3806,21,13,6.0,190.0,368,1417,6,3.9,81.0,113.0,930.0,23.0,179.0,26.8,11.2,Own 25.0,2:34,5.7,29.0,1.41
Lg Rank Offense,3,4, , ,1,13,5, ,23,4,6,1,3.0, ,3,7,5,25.0, , , , , ,6.0,32.0,3,7,7.0,6.0,5.0
Lg Rank Defense,1,8, , ,14,9,3, ,26,12,8,15,6.0, ,3,3,1,8.0, , , , , ,32.0,20.0,1,8,16.0,10.0,2.0
