Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,496,7032,1094,6.4,23,11,408,435,651,5062,41,12,7.5,272,417,1970,18,4.7,105,87,838,31,179,46.4,10.1,Own 28.9,2:53,6.29,39.3,2.71
Opp. Stats,369,5579,1093,5.1,20,9,337,408,619,3756,33,11,5.6,207,419,1823,10,4.4,102,98,734,28,184,35.9,10.3,Own 28.2,2:49,6.1,30.2,2.01
Lg Rank Offense,1,1,,,17,24,1,,5,1,1,10,1,,25,20,7,8,,,,,,1,25,15,10,6,1,1
Lg Rank Defense,16,11,,,20,17,19,,30,18,32,21,4,,5,8,5,15,,,,,,18,21,12,19,22,11,21
