Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,333,5014,1058,4.7,26,7,288,287,504,2815,20,19,5.1,156,511,2199,9,4.3,116,95,730,16,195,32.8,12.8,Own 36.8,2:44,5.63,25.5,1.58
Opp. Stats,165,3967,924,4.3,49,26,216,295,528,2997,11,23,5.3,135,361,970,5,2.7,59,84,535,22,194,15.5,23.7,Own 28.6,2:12,4.9,20.4,0.79
Lg Rank Offense,14,16,,,9,1,18,,20,22,15,20,24,,5,5,24,8,,,,,,10,22,1,3,8,20,14
Lg Rank Defense,1,2,,,1,1,2,,13,8,2,5,7,,3,1,1,1,,,,,,31,1,2,1,1,2,1
